State Name,County Name,State Date,AQI,Category
Tennessee,Davidson,2019-01-01,28,Good
Tennessee,Davidson,2019-01-02,46,Good
Tennessee,Davidson,2019-01-03,59,Moderate
Tennessee,Davidson,2019-01-04,22,Good
Tennessee,Davidson,2019-01-05,47,Good
Tennessee,Davidson,2019-01-06,52,Moderate
Tennessee,Davidson,2019-01-07,29,Good
Tennessee,Davidson,2019-01-08,25,Good
Tennessee,Davidson,2019-01-09,18,Good
Tennessee,Davidson,2019-01-10,28,Good
Tennessee,Davidson,2019-01-11,39,Good
Tennessee,Davidson,2019-01-12,38,Good
Tennessee,Davidson,2019-01-13,30,Good
Tennessee,Davidson,2019-01-14,55,Moderate
Tennessee,Davidson,2019-01-15,49,Good
Tennessee,Davidson,2019-01-16,59,Moderate
Tennessee,Davidson,2019-01-17,40,Good
Tennessee,Davidson,2019-01-18,36,Good
Tennessee,Davidson,2019-01-19,19,Good
Tennessee,Davidson,2019-01-20,29,Good
Tennessee,Davidson,2019-01-21,22,Good
Tennessee,Davidson,2019-01-22,35,Good
Tennessee,Davidson,2019-01-23,27,Good
Tennessee,Davidson,2019-01-24,43,Good
Tennessee,Davidson,2019-01-25,37,Good
Tennessee,Davidson,2019-01-26,28,Good
Tennessee,Davidson,2019-01-27,36,Good
Tennessee,Davidson,2019-01-28,38,Good
Tennessee,Davidson,2019-01-29,38,Good
Tennessee,Davidson,2019-01-30,23,Good
Tennessee,Davidson,2019-01-31,39,Good
Tennessee,Davidson,2019-02-01,43,Good
Tennessee,Davidson,2019-02-02,58,Moderate
Tennessee,Davidson,2019-02-03,55,Moderate
Tennessee,Davidson,2019-02-04,40,Good
Tennessee,Davidson,2019-02-05,49,Good
Tennessee,Davidson,2019-02-06,22,Good
Tennessee,Davidson,2019-02-07,27,Good
Tennessee,Davidson,2019-02-08,24,Good
Tennessee,Davidson,2019-02-09,21,Good
Tennessee,Davidson,2019-02-10,37,Good
Tennessee,Davidson,2019-02-11,45,Good
Tennessee,Davidson,2019-02-12,23,Good
Tennessee,Davidson,2019-02-13,45,Good
Tennessee,Davidson,2019-02-14,35,Good
Tennessee,Davidson,2019-02-15,43,Good
Tennessee,Davidson,2019-02-16,32,Good
Tennessee,Davidson,2019-02-17,31,Good
Tennessee,Davidson,2019-02-18,35,Good
Tennessee,Davidson,2019-02-19,35,Good
Tennessee,Davidson,2019-02-20,27,Good
Tennessee,Davidson,2019-02-21,29,Good
Tennessee,Davidson,2019-02-22,24,Good
Tennessee,Davidson,2019-02-23,18,Good
Tennessee,Davidson,2019-02-24,30,Good
Tennessee,Davidson,2019-02-25,42,Good
Tennessee,Davidson,2019-02-26,56,Moderate
Tennessee,Davidson,2019-02-27,54,Moderate
Tennessee,Davidson,2019-02-28,64,Moderate
Tennessee,Davidson,2019-03-01,48,Good
Tennessee,Davidson,2019-03-02,52,Moderate
Tennessee,Davidson,2019-03-03,56,Moderate
Tennessee,Davidson,2019-03-04,33,Good
Tennessee,Davidson,2019-03-05,37,Good
Tennessee,Davidson,2019-03-06,49,Good
Tennessee,Davidson,2019-03-07,50,Good
Tennessee,Davidson,2019-03-08,53,Moderate
Tennessee,Davidson,2019-03-09,31,Good
Tennessee,Davidson,2019-03-10,38,Good
Tennessee,Davidson,2019-03-11,36,Good
Tennessee,Davidson,2019-03-12,41,Good
Tennessee,Davidson,2019-03-13,47,Good
Tennessee,Davidson,2019-03-14,43,Good
Tennessee,Davidson,2019-03-15,36,Good
Tennessee,Davidson,2019-03-16,42,Good
Tennessee,Davidson,2019-03-17,45,Good
Tennessee,Davidson,2019-03-18,45,Good
Tennessee,Davidson,2019-03-19,53,Moderate
Tennessee,Davidson,2019-03-20,64,Moderate
Tennessee,Davidson,2019-03-21,37,Good
Tennessee,Davidson,2019-03-22,44,Good
Tennessee,Davidson,2019-03-23,49,Good
Tennessee,Davidson,2019-03-24,62,Moderate
Tennessee,Davidson,2019-03-25,51,Moderate
Tennessee,Davidson,2019-03-26,44,Good
Tennessee,Davidson,2019-03-27,50,Good
Tennessee,Davidson,2019-03-28,51,Moderate
Tennessee,Davidson,2019-03-29,54,Moderate
Tennessee,Davidson,2019-03-30,40,Good
Tennessee,Davidson,2019-03-31,39,Good
Tennessee,Davidson,2019-04-01,43,Good
Tennessee,Davidson,2019-04-02,49,Good
Tennessee,Davidson,2019-04-03,61,Moderate
Tennessee,Davidson,2019-04-04,59,Moderate
Tennessee,Davidson,2019-04-05,40,Good
Tennessee,Davidson,2019-04-06,45,Good
Tennessee,Davidson,2019-04-07,36,Good
Tennessee,Davidson,2019-04-08,31,Good
Tennessee,Davidson,2019-04-09,48,Good
Tennessee,Davidson,2019-04-10,64,Moderate
Tennessee,Davidson,2019-04-11,46,Good
Tennessee,Davidson,2019-04-12,38,Good
Tennessee,Davidson,2019-04-13,29,Good
Tennessee,Davidson,2019-04-14,39,Good
Tennessee,Davidson,2019-04-15,44,Good
