State Name,County Name,State Date,AQI,Category
Tennessee,Davidson,2017-05-17,54,Moderate
Tennessee,Davidson,2017-05-18,38,Good
Tennessee,Davidson,2017-05-19,40,Good
Tennessee,Davidson,2017-05-20,37,Good
Tennessee,Davidson,2017-05-21,31,Good
Tennessee,Davidson,2017-05-22,46,Good
Tennessee,Davidson,2017-05-23,80,Moderate
Tennessee,Davidson,2017-05-24,40,Good
Tennessee,Davidson,2017-05-25,48,Good
Tennessee,Davidson,2017-05-26,49,Good
Tennessee,Davidson,2017-05-27,45,Good
Tennessee,Davidson,2017-05-28,44,Good
Tennessee,Davidson,2017-05-29,43,Good
Tennessee,Davidson,2017-05-30,41,Good
Tennessee,Davidson,2017-05-31,47,Good
Tennessee,Davidson,2017-06-01,52,Moderate
Tennessee,Davidson,2017-06-02,77,Moderate
Tennessee,Davidson,2017-06-03,80,Moderate
Tennessee,Davidson,2017-06-04,43,Good
Tennessee,Davidson,2017-06-05,25,Good
Tennessee,Davidson,2017-06-06,40,Good
Tennessee,Davidson,2017-06-07,43,Good
Tennessee,Davidson,2017-06-08,37,Good
Tennessee,Davidson,2017-06-09,80,Moderate
Tennessee,Davidson,2017-06-10,55,Moderate
Tennessee,Davidson,2017-06-11,51,Moderate
Tennessee,Davidson,2017-06-12,38,Good
Tennessee,Davidson,2017-06-13,39,Good
Tennessee,Davidson,2017-06-14,45,Good
Tennessee,Davidson,2017-06-15,35,Good
Tennessee,Davidson,2017-06-16,61,Moderate
Tennessee,Davidson,2017-06-17,52,Moderate
Tennessee,Davidson,2017-06-18,34,Good
Tennessee,Davidson,2017-06-19,40,Good
Tennessee,Davidson,2017-06-20,71,Moderate
Tennessee,Davidson,2017-06-21,48,Good
Tennessee,Davidson,2017-06-22,27,Good
Tennessee,Davidson,2017-06-23,27,Good
Tennessee,Davidson,2017-06-24,39,Good
Tennessee,Davidson,2017-06-25,43,Good
Tennessee,Davidson,2017-06-26,42,Good
Tennessee,Davidson,2017-06-27,48,Good
Tennessee,Davidson,2017-06-28,58,Moderate
Tennessee,Davidson,2017-06-29,37,Good
Tennessee,Davidson,2017-06-30,26,Good
Tennessee,Davidson,2017-07-01,40,Good
Tennessee,Davidson,2017-07-02,36,Good
Tennessee,Davidson,2017-07-03,35,Good
Tennessee,Davidson,2017-07-04,76,Moderate
Tennessee,Davidson,2017-07-05,79,Moderate
Tennessee,Davidson,2017-07-06,33,Good
Tennessee,Davidson,2017-07-07,54,Moderate
Tennessee,Davidson,2017-07-08,44,Good
Tennessee,Davidson,2017-07-09,48,Good
Tennessee,Davidson,2017-07-10,58,Moderate
Tennessee,Davidson,2017-07-11,74,Moderate
Tennessee,Davidson,2017-07-12,49,Good
Tennessee,Davidson,2017-07-13,41,Good
Tennessee,Davidson,2017-07-14,39,Good
Tennessee,Davidson,2017-07-15,40,Good
Tennessee,Davidson,2017-07-16,49,Good
Tennessee,Davidson,2017-07-17,74,Moderate
Tennessee,Davidson,2017-07-18,74,Moderate
Tennessee,Davidson,2017-07-19,60,Moderate
Tennessee,Davidson,2017-07-20,67,Moderate
Tennessee,Davidson,2017-07-21,133,Unhealthy for Sensitive Groups
Tennessee,Davidson,2017-07-22,59,Moderate
Tennessee,Davidson,2017-07-23,50,Good
Tennessee,Davidson,2017-07-24,58,Moderate
Tennessee,Davidson,2017-07-25,80,Moderate
Tennessee,Davidson,2017-07-26,84,Moderate
Tennessee,Davidson,2017-07-27,67,Moderate
Tennessee,Davidson,2017-07-28,40,Good
Tennessee,Davidson,2017-07-29,38,Good
Tennessee,Davidson,2017-07-30,40,Good
Tennessee,Davidson,2017-07-31,61,Moderate
Tennessee,Davidson,2017-08-01,51,Moderate
Tennessee,Davidson,2017-08-02,53,Moderate
Tennessee,Davidson,2017-08-03,54,Moderate
Tennessee,Davidson,2017-08-04,43,Good
Tennessee,Davidson,2017-08-05,42,Good
Tennessee,Davidson,2017-08-06,45,Good
Tennessee,Davidson,2017-08-07,43,Good
Tennessee,Davidson,2017-08-08,48,Good
Tennessee,Davidson,2017-08-09,57,Moderate
